TechnicalDescription,failure_reason
Direct Mapping to Phase column  coming from DimPhase table from Commercial NRT Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to TenantCountry column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values,Missing source info
Direct Mapping to AssignedTo column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to ServiceRequestSkillIdList column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to TicketLanguage column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to UpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to PlanningCategoryKey column in FactSupportServiceRequest table comng from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to IsForceSyncEvent column in SlaItem table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
This is reference key to DimEmployee to get more details of the employee associated with survey response. It is populated by joining the systemuserid column in systemuser table from cornerstone source with NativeAgentId column in the DimEmployeeMapping table in UDP Common Database for dynamics cases.,Missing source info
"Derived by applying decode logic on ChannelOrgCode,FunctionHierarchyKey,ChannelOrgSummaryName, IsCEnS columns in DimFunctionHierarchy table coming from MDM source. 
Logic:
          If lower(ChannelOrgCode)='b20e' Then true
          If FunctionHierarchyKey=-1 or ChannelOrgSummaryName='Unknown' or FunctionHierarchyKey is Null THEN
              CASE 
              If   MDM.IsCEnS is not null then Cast(MDM.IsCEnS as Boolean)
              Else true
              END
         WHEN lower(ChannelOrgCode)<>'b20e' Then false
          Else true
          END AS IsCEnS ",Transformation logic
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
 Logic:When StateAnnotation IN ('troubleshooting') then True else Flase.",Transformation logic
"Derived by applying decode logic on StateAnnotation, EventDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: IF StateAnnotation is in any of the specified values ('identifying the issue', 'identifying issue', 'scope'), it returns the EventDateTime from cases table otherwise, it returns NULL.",Transformation logic
Direct Mapping to EventType  column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on PerformedOn and CreatedDateTime in Labor and Cases table respectively coming from DFM Events data processed by Cornerstone having integer values.
Logic: Calculates the difference in minutes between the current timestamp and the PerformedON column in Labor table or CreatedDateTime column in Cases table based on which ever column is not null.",Transformation logic
Direct Mapping to CustomerType column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct mapping to State column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to UpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to StartsOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on IsEUSchrems column in FollowUpTask table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to CreatedOn  column in Labor table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to FiscalMonthName in DimTime table coming from Commercial NextDay Datamart within SA&DP having string values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to EnqueuedTimeUtc column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to BlockedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to IsBlocking column in FollowUpTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct mapping to CaseType column in Cases table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to TenantId column in  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values,Missing source info
Direct mapping to LastUpdatedByApp column in SupportRequestPreCommunication table coming from upstream Amplify source having string values.,Missing source info
This is a reference key to the DimSupportAreaPath table to get more details about Support area path. This key is populated by joining SupportAreaPathID column in DimSupportAreaPath table coming from Commercial NextDay Datamart within SA&DP with SAPID column in Cases table coming from  DFM Events data processed by Cornerstone.,Conditions of join
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in CollaborationTask table coming from DFM Events data processed by Cornerstone.
Logic:-  CASE WHEN State IN ('closedcompleted','closedcancelled') 
THEN it calcuate time difference between StateLastUpdatedDateTime and CreatedDateTime columns
ELSE it calcuate time difference between CURRENT_TIMESTAMP() and CreatedDateTime columns
END AS TaskAgeDays",Transformation logic
Direct Mapping to id  column in SlaItem table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to SupportChannel column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Hardcoded as ""1"". 1 Stands Active.",Uncategorized
Direct Mapping to AssignmentPending column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityURI column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This logic derives a value based on Row_InitialPreviousRoutingContext and EventDateTime columns in the SREvents table, using a conditional check to join with the DimQueue table and fetch the QueueKey, which is then aliased as PreviousAssignedQueueKey.",Transformation logic
"Derived attribute of datatype boolean in PurgedIncidents table coming from Commercial NextDay Datamart within SA&DP.
Logic: Step1 - We hardcode IsPurged as 1 for the all distinct ServiceRequestNumber coming from PurgedIncidents table.
Step2 - We fetch IsPurged by joining SRNumber column in Cases table coming from DFM Events data processed by Cornerstone and ServiceRequestNumber column in PurgedIncidents table.
Step3 - If the value from step 2 is null then it will assign 0.",Transformation logic
Direct Mapping to IsForceSyncEvent column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in Cases table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the Cases Event table where the routing is done.
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
Direct mapping to UpdatedBy  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier)  coming from FollowUpTask table coming from DFM Events data processed by Cornerstone gaving string values.,Missing source info
Direct Mapping to IsForceSyncEvent column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Derived by applying decode logic on Severity column in Cases table from DFM Events data processed by Cornerstone. Logic: Takes the first value of the Severity column by grouping on SR Number and ordering by EventDateTime.,Transformation logic
Direct Mapping to SupportTimeZone column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Derived by applying decode logic on IsEUSchrems column in Collaboration table loaded from DFM Events data processed by Cornerstone. Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems,Transformation logic
Direct Mapping to IsM365 column in SlaItem table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
"This is reference key to the DimPESProduct to get more details of PESProduct. This key is populated by joining PesproductId column in DimPESProduct table with PesproductId column in DimSupportAreaPath, both the tables coming from Commercial NextDay Datamart within SA&DP",Conditions of join
Direct Mapping to IncidentId column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to ARRType column in FactSREvents table coming from Commercial NRT Datamart within SA&DP having string values.,Missing source info
"Derived by applying decode logic on column MinutesPastSLA from FactSREvents from Commercial NRT Datamart within SA&DP source.
Logic: It calculates the MinutesPastSLA into different time ranges and providing corresponding labels.",Transformation logic
Direct Mapping to id column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on CompletedDateTime, Type, and CreatedDateTime in Cases table.
Logic: Computes the minute difference between CompletedDateTime and CreatedDateTime when Type is 'InitialResponse'.",Transformation logic
"Derived by applying decode logic on StateAnnotation and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: If  StateAnnotation contains any one of the specified values in ('identifying the issue', 'identifying issue', 'scope') then it returns the EventDateTime from Cases table otherwise, it returns NULL.",Transformation logic
Direct mapping to CompletedDateTime column in Cases table coming from DFM Events data processed by Cornerstone source having timestamp(UTC) values.,Missing source info
Direct Mapping to SupplierName column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct mapping to State  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic based on StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE WHEN StateAnnotation NOT IN ('identifying the issue','identifying issue','scope')  THEN 1 ELSE 0.",Transformation logic
This is a reference key to the DimSupportAreaPath table to get more details about Support area path. This key is populated by joining SupportAreaPathID column in DimSupportAreaPath table coming from Commercial NextDay Datamart within SA&DP with SAPID column in Cases table coming from  DFM Events data processed by Cornerstone.,Conditions of join
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in days between Current Timestamp and CreatedDateTime column in Cases table.
               When State ='Closed' it calculates the difference in days between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
               If the result when either of the above conditions met SRAgeDays assigned to 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
This is reference attribute to the DimGeography table to get more details about the GeographyLevel3Name. It is populated by joining TenantCountry column in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation) with ISOCountryShortCode column in DimGeography table coming from Commercial NextDay Datamart within SA&DP,Conditions of join
"Derived by applying decode logic on EXTENSIONATTRIBUTESSR,  SupportAreaNames columns in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation).
Logic: If EXTENSIONATTRIBUTESSR=1 OR SupportAreaNames like '%OnPrem%'  then Hardcoded as ""On-Prem"" ELSE  Hardcoded as ""Cloud""",Transformation logic
"This is reference key to ServiceOfferingMasterKey table to get more details about ServiceOfferingMaster.This key is populated by joining SRNumber column in FactSRSupportData table with SRNumber column in Cases table, both the tables coming from Commercial NRT Datamart within SA&DP.",Conditions of join
Direct Mapping to State column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to Severity column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
Direct mapping to IsRA in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Direct Mapping to column Severity in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to IsM365 column in FollowUpTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to CreatedBy column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EventDateTime column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
Direct Mapping to ExpiresOn  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC. ,Missing source info
Direct Mapping to Customers column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct mapping to TransferredFrom column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
This is reference key to the DimQueue table to get more details about about Queue. This key is populated by joining RoutingContextId column in Cases table coming from DFM Events data processed by Cornerstone source with NativeQueueId column in DimQueue table coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct mapping to CustomerProgramPriority column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to CreatedBy column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This is reference key to the DimPESProduct to get more details of PESProduct. This key is populated by joining PesproductId column in DimPESProduct table with PesproductId column in DimSupportAreaPath, both the tables coming from Commercial NextDay Datamart within SA&DP",Conditions of join
Direct mapping to ServiceName column coming from DimARRService table.,Missing source info
Direct Mapping to EventDateTime column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to CreatedDateTime column  in Labor Table coming from DFM Events data processed by Cornerstone source having Timestamp(UTC)values.,Missing source info
Direct Mapping to EventDateTime column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to IsPublicSector column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct Mapping to Direction column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to DeleteOn column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
"Derived by applying decode logic on Id and TaskType columns in EmailInteraction table coming from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='EmailInteraction'.
Step2- If TaskCountId coming from step 1 is NULL, it replaces it with 0 END AS EmailInteractions",Transformation logic
Direct mapping to SupportAreaPathIssue  column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
Direct Mapping to InboundLastEmailRecieveDateTime column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source  having timestamp values in UTC.,Missing source info
Direct Mapping to id column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to SupportLanguage  column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to Source column in SupportRequestDetails_NRT intermediate table having  String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to UpdatedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to IsRA in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Direct mapping to CaseType column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to AgentIdLastUpdatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to IsM365 column in Labor table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to StateAnnotation column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This is reference key to ServiceOfferingMasterKey table to get more details about ServiceOfferingMaster.This key is populated by joining SRNumber column in FactSRSupportData table with SRNumber column in Cases table, both the tables coming from Commercial NRT Datamart within SA&DP.",Conditions of join
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct Mapping to IsSyncEvent column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
"Derived by applying decode logic on EventDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic:  It calculates minute difference between EventDateTime and CreatedDateTime column when EntityAction= 'AgentAssigned' in cases table.",Transformation logic
Direct mapping to SupportTier  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Surrogate key generated within UDP NRT to identify unique records of FactSREvents table. It is generated using SRNumber.,Uncategorized
Direct Mapping to id column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived attribute of datatype int based on CreatedDateTime column in Cases table from DFM data processed by Cornerstone. It joins using SRNumber from both FactSupportData and Cases table.
Logic: It calculates the number of seconds passed since the start of the day for a given CreatedDateTime, rounds it to the nearest 30-minute interval, and subtracts 1 second to determine SRCreatedDateTimeSeconds.",Transformation logic
Direct Mapping to AgentIdLastUpdatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to EventDateTime column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to LastUpdatedTime  column in SupportRequestPreCommunication table coming from upstream Amplify source having Timestamp(UTC) values.,Missing source info
Surrogate key generated within UDP NRT to identify unique records of FactSREvents table.,Uncategorized
"Dervied by applying decode logic on Causetype column in Cases table coming DFM Events data processed by Cornerstone source having string values.
Logic :CASE When CasueType='Bug' then hardcoded as 1 else 0.",Transformation logic
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to UpdatedBy column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
This is reference key to the DimIdleTimeSpan to get more details about IdleTimeSpan .It is populated by joining LaborSpan column in DimLaborTimeSpan table coming from Commercial NextDay Datamart within SA&DP with LaborSpanL1 column in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP.,Conditions of join
Direct Mapping to UpdatedAttributes column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CaseNumber column in EscalationTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to SummaryTags column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source  having String values.,Missing source info
Direct mapping to IsCSCTicket column in CustomerScheduledCallbackTime table coming from Amplify source having boolean values .,Missing source info
Reference key to DimCauseType table for fetching CauseTypeKey details. It is populated by joining CauseType in Cases table with CauseType in DimCauseType.,Conditions of join
"Derived by applying decode logic based on CompletedDateTime, ExpireDateTime, SlaType columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: Step 1 - We consider the max value of CompletedDateTime and ExpireDateTime columns when SlaType = 'initialresponse'.
Step 2 - If CompletedDateTime is greater than ExpireDateTime, set IRStatus as 'Missed'.
Step 3 - Otherwise, if CompletedDateTime is less than or equal to ExpireDateTime, set IRStatus as 'Met'. Otherwise, set it as 'Unknown'.",Transformation logic
"Derived by applying decode logic on KPIState column in DimKPIState and State, Name, and SRNumber in KPIFlash.
Logic: Joins DimKPIState with KPIFlash on KPIState and Name='fcr', grouping by SRNumber and selecting the max KPIStateKey. If null, assigns -1.",Transformation logic
Direct mapping to FiscalQuarterName column in DimTime table coming from Commercial NextDay Datamart within SA&DP having string values.,Missing source info
"Derived by applying decode logic on StateAnnotation, EventDateTime, CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It takes  minute difference between EventDateTime and CreatedDateTime when StateAnnotation IN ('troubleshooting') in Cases table.",Transformation logic
Direct Mapping to EventDateTime  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC. ,Missing source info
Direct Mapping to ServiceRequestSkillIdList column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on QueueName and PreviousRoutingQueueName columns in DimQueue coming from Commercial NextDay Datamart within SA&DP and SREvents table coming from Commercial NRT Datamart within SA&DP.
Logic: It converts either ""QueueName"" or ""PreviousRoutingQueueName"" to a string, if both are null it assign 'Unknown'.",Transformation logic
Direct mapping to IsARR column in DimSupportServiceRequest table coming  from Commercial NextDay Datamart within SA&DP source  having boolean values.,Missing source info
Direct mapping to Severity column in IncidentsSnapshotV2 table from ICMDataWarehouse source having integer values.,Missing source info
Direct Mapping to AssignedTo of column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AgentIdentifiedRootCauseId  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to id column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in Collaboration table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the Collaboration Event table where the routing is done
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
"Derived by applying decode logic based on ProgramType column in Cases table coming  from DFM Events data processed by Cornerstone source.
Logic: If ProgramType contains values like 'S500' then true else false.",Transformation logic
Direct Mapping to Classification  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to BugURL column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to EnqueuedTimeUtc column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to Is24X7OptedIn column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct Mapping to AssignmentPending column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CompletedDateTime  column in SLAEvents table coming from DFM Events data processed by Cornerstone source having Timestamp(UTC)values.,Missing source info
Direct Mapping to CreatedOn column in CollaborationTask table coming  from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived attribute of datatype Date based on the Current_Timestamp.
Logic: It calculates the next Sunday (in that week) after subtracting 7 days from the current date.
Example: It we take Current_Timestamp as March 8th, it subtracts 7 days from it which is March 1st and the immediate next Sunday is considered as the WeekEndDate which is March 3rd.",Transformation logic
Direct Mapping to TicketNumber column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values.,Missing source info
Direct Mapping to AssignmentPending column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic based on ReopenCount column in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:If ReopenCount > 0 then True Else False",Transformation logic
Direct mapping to Modality column in SupportRequestDetails_NRT intermediate table having String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to StateAnnotation column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Indirect mapping to IdleTimeSpanKey in DimIdleTimeSpan table coming from Commercial NRT Datamart within SA&DP.
Logic: Step-1 : It is fetched by joining IdleTimeSpan column in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP with IdleTimeL1 column in DimIdleTimeSpan table.
Step-2 : If IdleTimeSpanKey from step-1 is NULL then it replaced with -1.",Missing source info
Direct Mapping to QualifiedWaitTimeFilter column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in minutes between Current Timestamp and CreatedDateTime column in Cases table.
              When State ='Closed' it calculates the difference in minutes between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
               If the result when either of the above conditions met it assign 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
"Derived by applying decode logic based on PerformedOn and CreatedDateTime columns in Labor and Cases table respectively coming from DFM Events data processed by Cornerstone.
Logic: Calculates the difference in days between the PerformedON column in Labor table and the CreatedDateTime column in Cases table.",Transformation logic
"Derived by applying decode logic on EventDateTime, AgentId, AgentIdAssignedCount and UpdatedAttributes columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE WHEN AgentId IS NOT NULL AND AgentIdAssignedCount = 1 AND UpdatedAttributes like '%AgentId%' THEN EventDateTime END AS FirstAssignmentDateTime.",Transformation logic
Direct mapping to SortL2 column coming from static source provided by commercial business.,Missing source info
Direct Mapping to EntityAction column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to IsIncidentServiceImpactingEvent column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct mapping to Status  column in CustomerScheduledCallbackTime table coming from Amplify source having integer values.,Missing source info
Direct Mapping to UpdatedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to InternalTitle column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having String values.,Missing source info
Direct mapping to TransferReason column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to Verbatim column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to TransferReason column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to EntityType column in SlaItem table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
"Derived by applying decode logic on ProgramType column in Cases table coming  from DFM Events data processed by Cornerstone having string values.
Logic : CASE When ProgramType ='%identity%'  then true else false",Transformation logic
Direct Mapping to SROwnerCount  column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP  source having integer values.,Missing source info
Direct Mapping to IsS500Program column in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Direct Mapping to EventDateTime column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to ReminderDateTime column in CustomerScheduledCallbackTime table coming from Amplify source having Timestamp(UTC) values.,Missing source info
"Derived by applying decode logic on SLAExpiresTime and SLACompletedTime from SLAEvents from Commercial NRT Datamart within SA&DP source.
Logic: Checks if SLACompletedTime is null and calculates time difference.",Transformation logic
Direct Mapping to OrderId column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to EventType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to SupportTimeZone column in Cases table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to UpdatedAttributes column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to CurrentSupportAreaKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having interger values.,Missing source info
Direct mapping to SupportTier  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct mapping to SupportArea column in SupportRequestDetails_NRT intermediate table having  String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to AssignmentPendingSince column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to IsIncidentServiceImpactingEvent column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct Mapping to UpdatedAttributes column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SkillIds column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having  String values .,Missing source info
"Derived by applying decode logic on IsEUSchrems column in SlaItem table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct mapping to CompletedDateTime column in Cases table coming from DFM Events data processed by Cornerstone source having timestamp(UTC) values.,Missing source info
Direct Mapping to CreatedBy column in CollaborationTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct mapping to PlanningCategory column in FactSupportServiceRequest table comng from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Direct mapping to InternalTitle column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to RaveRequestIsRavetoSD column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
"This attribute has static values ('Unknown', 'Critical') provided by Commercial Business and uploaded via flat file.",Uncategorized
Direct Mapping to SLAStartDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
"Derived attribute of datatype int based on CreatedDateTime column in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: Extracts the date from CreatedDateTime by removing hyphens. If SRCreatedDateTimeId is NULL, replace with -1.",Transformation logic
Direct Mapping to CreatedDateTime column  in Labor Table coming from DFM Events data processed by Cornerstone source having Timestamp(UTC)values.,Missing source info
This is reference key to the DimAgeTimeSpan table to get more details about AgeTimeSpan. This key is populated by joining TimeSpan column in DimTimeSpan table coming from Commercial NextDay Datamart within SA&DP with CaseAgeTimeSpan column in FactSRSupportData coming from Commercial NRT Datamart within SA&DP.,Conditions of join
